WKT,name,description
POINT (103.540458 -1.689798),GAN_A NEW AURDURI,GAN_A NEW AURDURI
POINT (102.027574 -0.504879),GAN_A PERANAP,GAN_A PERANAP
POINT (103.540448 -1.690567),GAN_B NEW AURDURI,GAN_B NEW AURDURI
POINT (102.027729 -0.505286),GAN_B PERANAP,GAN_B PERANAP
POINT (103.53632 -1.689497),T.001,T.001 EE+6
POINT (103.539289 -1.689788),T.001A,T.001A LN1 FF+0
POINT (103.539289 -1.690575),T.001BX,T.001BX LN2 FF+0
POINT (103.533756 -1.686383),T.002,T.002 AA+9
POINT (103.531223 -1.683243),T.003,T.003 AA+9
POINT (103.528628 -1.680112),T.004,T.004 AA+9
POINT (103.526069 -1.676981),T.005,T.005 AA+12
POINT (103.523492 -1.67384),T.006,T.006 AA+12
POINT (103.521356 -1.671156),T.007,T.007, CC+6
POINT (103.51985 -1.667239),T.008,T.008 AA+9
POINT (103.51835 -1.663318),T.009,T.009 AA+9
POINT (103.516965 -1.659688),T.010,T.010 DD+9
POINT (103.512851 -1.658148),T.011,T.011 AA+12
POINT (103.509082 -1.656758),T.012,T.012 AA+9
POINT (103.505118 -1.655284),T.013,T.013 AA+9
POINT (103.50115 -1.653841),T.014,T.014 AA+9
POINT (103.497238 -1.652377),T.015,T.015 AA+9
POINT (103.493352 -1.650946),T.016,T.016 AA+9
POINT (103.489376 -1.649486),T.016A,T.016A AA+9
POINT (103.485461 -1.648039),T.017,T.017 CC+9
POINT (103.482877 -1.645051),T.018,T.018 AA+9
POINT (103.4801 -1.641839),T.019,T.019 AA+6
POINT (103.477214 -1.638503),T.020,T.020 AA+9
POINT (103.474514 -1.635474),T.021,T.021 DD+3
POINT (103.47492 -1.631425),T.022,T.022 AA+9
POINT (103.475326 -1.627376),T.023,T.023 AA+9
POINT (103.475755 -1.623101),T.024,T.024 AA+6
POINT (103.476025 -1.620401),T.024A,T.024A DD+3
POINT (103.478439 -1.617422),T.024B,T.024B AA+6
POINT (103.480795 -1.614513),T.024C,T.024C AA+6
POINT (103.483294 -1.611428),T.024D,T.024D AA+9
POINT (103.485714 -1.60844),T.025,T.025 DD+3
POINT (103.485578 -1.605739),T.026,T.026 AA+3
POINT (103.485421 -1.602275),T.027,T.027 AA+15
POINT (103.485316 -1.599948),T.028,T.028 CC+12
POINT (103.486823 -1.595338),T.29 R,T.29 R
POINT (103.48826 -1.592101),T.30 R,T.30 R
POINT (103.488397 -1.587995),T.31 R,T.31 R
POINT (103.489005 -1.583323),T.032,T.032 AA+6
POINT (103.48993 -1.579126),T.033,T.033 AA+6
POINT (103.490748 -1.575073),T.034,T.034 AA+9
POINT (103.491747 -1.570771),T.035,T.035 AA+6
POINT (103.492619 -1.567016),T.036,T.036 AA+6
POINT (103.493505 -1.562994),T.037,T.037 BB+6
POINT (103.494514 -1.558594),T.038,T.038 AA+6
POINT (103.49535 -1.554926),T.039,T.039 AA+9
POINT (103.496223 -1.551115),T.040,T.040 AA+6
POINT (103.497409 -1.546411),T.041,T.041 AA+15
POINT (103.498714 -1.542639),T.042X,T.042 AA+15
POINT (103.500272 -1.538134),T.043,T.043X FF+9
POINT (103.500027 -1.535149),T.044,T.044 AA+31S
POINT (103.499556 -1.529396),T.045X,T.045X AA+31S
POINT (103.499385 -1.527278),T.045A,T.045A,FF+0
POINT (103.50136 -1.524151),T.046X,T.046X AA+9
POINT (103.503309 -1.521006),T.047,T.047 CC+6
POINT (103.5043 -1.516673),T.048,T.048 BB+9
POINT (103.505511 -1.513988),T.049X,T.049X AA+6
POINT (103.507259 -1.510544),T.050X,T.050X CC+12
POINT (103.507779 -1.505756),T.051X,T.051X AA+12
POINT (103.5083 -1.500967),T.052,T.052 AA+12
POINT (103.508734 -1.49677),T.053,T.053 CC+9
POINT (103.510592 -1.493004),T.054,T.054 AA+6
POINT (103.512433 -1.48961),T.055X,T.055X  BB+6
POINT (103.514146 -1.485895),T.56 R,T.56 R
POINT (103.513875 -1.481237),T.57 R,T.57 R
POINT (103.516735 -1.477679),T.58 R,T.58 R
POINT (103.518836 -1.474464),T.059,T.059  BB+12
POINT (103.520791 -1.470128),T.060,T.060 BB+15
POINT (103.523022 -1.465331),T.061,T.061 AA+15
POINT (103.524868 -1.461349),T.062,T.062 AA+12
POINT (103.526509 -1.457763),T.063,T.063 AA+6
POINT (103.527644 -1.45528),T.064,T.064 AA+12
POINT (103.529552 -1.450533),T.065,T.065 AA+12
POINT (103.530407 -1.448427),T.066,T.066 AA+15
POINT (103.5321 -1.444159),T.067,T.067 BB+15
POINT (103.53408 -1.439348),T.068,T.068  DD+12
POINT (103.532348 -1.435901),T.069,T.069 AA+6
POINT (103.530516 -1.432274),T.070,T.070 AA+3
POINT (103.52856 -1.428383),T.071,T.071 AA+12
POINT (103.526675 -1.424412),T.072,T.072 AA+9
POINT (103.52444 -1.420431),T.073,T.073 AA+9
POINT (103.522519 -1.417092),T.074,T.074 AA+6
POINT (103.520634 -1.413537),T.075,T.075 AA+6
POINT (103.518902 -1.410271),T.076,T.076 AA+6
POINT (103.516595 -1.406181),T.077,T.077 BB+15
POINT (103.51453 -1.402707),T.078,T.078 AA+12
POINT (103.512349 -1.398608),T.079,T.079 AA+6
POINT (103.510374 -1.395152),T.080,T.080 AA+3
POINT (103.508301 -1.391488),T.081,T.081 BB+12
POINT (103.505707 -1.386865),T.082,T.082 AA+6
POINT (103.503606 -1.38311),T.083,T.083 AA+12
POINT (103.502107 -1.38045),T.084,T.084 DD+6
POINT (103.498244 -1.379091),T.085,T.085 BB+12
POINT (103.493761 -1.377515),T.086,T.086 AA+15
POINT (103.489583 -1.376011),T.087,T.087 AA+9
POINT (103.485379 -1.374507),T.088,T.088 BB+12
POINT (103.480896 -1.372912),T.089,T.089 AA+9
POINT (103.477077 -1.371535),T.090,T.090 AA+15
POINT (103.472873 -1.37004),T.091,T.091 AA+15
POINT (103.469019 -1.368672),T.092,T.092 AA+9
POINT (103.464598 -1.367122),T.093,T.093 BB+0
POINT (103.460259 -1.365609),T.094,T.094 AA+12
POINT (103.45627 -1.364232),T.095,T.095 AA+0
POINT (103.452461 -1.363018),T.096,T.096 AA+0
POINT (103.44787 -1.361305),T.097,T.097 AA+0
POINT (103.443109 -1.359512),T.098,T.098 AA+9
POINT (103.439165 -1.358116),T.099,T.099 AA+6
POINT (103.435086 -1.356676),T.100,T.100 AA+9
POINT (103.430729 -1.355153),T.101,T.101  AA+15
POINT (103.42763 -1.354075),T.102,T.102 AA+15
POINT (103.422985 -1.352435),T.103,T.103 BB+9
POINT (103.417999 -1.350542),T.104,T.104 BB+15
POINT (103.413992 -1.349246),T.105,T.105 AA+0
POINT (103.409824 -1.347778),T.106,T.106 AA+0
POINT (103.407156 -1.346854),T.107,T.107 AA+12
POINT (103.404389 -1.345839),T.107A,T.107A
POINT (103.402053 -1.344996),T.108,T.108 AA+12
POINT (103.398712 -1.343705),T.109, T.109      
POINT (103.398738 -1.343737),T.109,T.109 AA+6
POINT (103.394252 -1.3417),T.110 R, T.110 R
POINT (103.390634 -1.340163),T.111 R,T.111 R        
POINT (103.385783 -1.33899),T.113 R, T.113 R     
POINT (103.381822 -1.338191),T.114,T.114
POINT (103.378417 -1.337068),T.115,T.115 CC+12
POINT (103.375049 -1.335202),T.116,T.116 AA+6
POINT (103.371025 -1.332984),T.117,T.117 AA+12
POINT (103.367423 -1.330992),T.118,T.118 AA+9
POINT (103.364189 -1.329208),T.119,T.119 AA+3
POINT (103.360408 -1.327117),T.120,T.120 AA+6
POINT (103.357219 -1.325351),T.121,T.121 AA+12
POINT (103.354201 -1.323703),T.121A,T.121A AA+3
POINT (103.351533 -1.322236),T.122,T.122 AA+9
POINT (103.348884 -1.32077),T.123,T.123 AA+6
POINT (103.345461 -1.318859),T.124,T.124 BB+6
POINT (103.342093 -1.316967),T.125,T.125 AA+0
POINT (103.339255 -1.315355),T.126,T.126 AA+0
POINT (103.336048 -1.313526),T.127,T.127 AA+3
POINT (103.332213 -1.311344),T.127A,T.127A AA+0
POINT (103.329231 -1.309751),T.128,T.128 AA+9
POINT (103.325189 -1.307559),T.129,T.129 AA+6
POINT (103.322575 -1.306129),T.130,T.130 AA+6
POINT (103.318498 -1.303901),T.131,T.131 AA+6
POINT (103.316279 -1.302652),T.132,T.132 AA+0
POINT (103.313872 -1.301312),T.133,T.132A AA+0
POINT (103.310827 -1.29961),T.133,T.133 AA+0
POINT (103.307405 -1.297609),T.134,T.134 CC+3
POINT (103.303892 -1.297046),T.135,T.135 AA+3
POINT (103.29923 -1.296301),T.136,T.136 BB+3
POINT (103.294315 -1.295466),T.138,T.138 BB+0
POINT (103.290147 -1.294794),T.139,T.139 AA+6
POINT (103.285646 -1.294067),T.140,T.140 BB+12
POINT (103.281235 -1.293359),T.141,T.141 AA+12
POINT (103.277452 -1.29275),T.142,T.142 AA+9
POINT (103.272772 -1.291978),T.143,T.143 AA+3
POINT (103.26881 -1.291306),T.144,T.144 AA+9
POINT (103.264587 -1.290598),T.145,T.145 AA+0
POINT (103.260473 -1.289917),T.146,T.146 AA+6
POINT (103.256152 -1.289191),T.147,T.147 AA+12
POINT (103.251992 -1.288501),T.148,T.148 AA+3
POINT (103.24821 -1.287883),T.149,T.149 AA+0
POINT (103.245066 -1.287356),T.150,T.150 AA+0
POINT (103.241562 -1.28673),T.151,T.151 AA+0
POINT (103.236765 -1.285877),T.152,T.152 AA+3
POINT (103.232228 -1.285069),T.153,T.153 BB+6
POINT (103.227296 -1.284179),T.154,T.154 AA+9
POINT (103.223936 -1.283571),T.155,T.155 AA+0
POINT (103.220136 -1.28289),T.156,T.156 AA+0
POINT (103.21621 -1.2822),T.157,T.157 AA+0
POINT (103.212653 -1.281564),T.158,T.158 AA+6
POINT (103.20835 -1.280793),T.159,T.159 AA+9
POINT (103.203939 -1.280021),T.160,T.160 AA+15
POINT (103.200921 -1.279494),T.161,T.161 DD+6
POINT (103.199394 -1.27782),T.162,T.162 AA+0
POINT (103.196755 -1.274952),T.163,T.163 AA+0
POINT (103.193954 -1.271875),T.164,T.164 AA+3
POINT (103.191808 -1.269532),T.164A,T.164A AA+3
POINT (103.18977 -1.267288),T.165,T.165 AA+12
POINT (103.187652 -1.264989),T.166,T.166 AA+9
POINT (103.185407 -1.26251),T.167,T.167 AA+0
POINT (103.183208 -1.260185),T.168,T.168 AA+15
POINT (103.180155 -1.256801),T.169,T.169 AA+15
POINT (103.178001 -1.25443),T.170,T.170 AA+0
POINT (103.175595 -1.251806),T.171,T.171 BB+12
POINT (103.172381 -1.248376),T.172,T.172 AA+12
POINT (103.169697 -1.245436),T.173,T.173 AA+3
POINT (103.167497 -1.24302),T.174,T.174 AA+3
POINT (103.164651 -1.239961),T.175,T.175 AA+6
POINT (103.162039 -1.237193),T.176,T.176 CC+3
POINT (103.160779 -1.2332),T.177,T.177 AA+9
POINT (103.159502 -1.229179),T.178,T.178 AA+3
POINT (103.158193 -1.225073),T.179,T.179 AA+0
POINT (103.157126 -1.221735),T.180,T.180 4FF10+0
POINT (103.156508 -1.218887),T.180A,T.180A GG+3 TRANSPOSISI
POINT (103.155843 -1.218579),T.180B,T.180B GG+3 TRANSPOSISI
POINT (103.155297 -1.215974),T.181X,T.181 4FF10+3
POINT (103.154329 -1.212935),T.182,T.182 AA+9
POINT (103.153163 -1.209317),T.183,T.183 AA+3
POINT (103.151962 -1.205446),T.184,T.184 AA+9
POINT (103.150653 -1.20124),T.185,T.185 AA+3
POINT (103.149362 -1.197152),T.186,T.186 AA+0
POINT (103.148027 -1.192902),T.187,T.187 AA+9
POINT (103.146816 -1.188976),T.189,T.189 AA+12
POINT (103.145606 -1.184961),T.190,T.190 AA+0
POINT (103.144557 -1.181696),T.191,T.191 AA+9
POINT (103.143096 -1.177155),T.192,T.192 CC+9
POINT (103.140295 -1.174233),T.193,T.193 AA+6
POINT (103.137602 -1.1715),T.194,T.194 AA+3
POINT (103.135052 -1.168921),T.195,T.195 AA+3
POINT (103.132691 -1.166523),T.196,T.196 AA+3
POINT (103.129643 -1.163454),T.197,T.197 AA+9
POINT (103.127124 -1.160922),T.198,T.198 AA+6
POINT (103.124452 -1.158219),T.199,T.199 AA+9
POINT (103.121585 -1.155258),T.200,T.200 AA+6
POINT (103.118659 -1.15229),T.201,T.201 AA+3
POINT (103.116181 -1.149775),T.202,T.202 AA+6
POINT (103.113469 -1.147069),T.203,T.203 BB+6
POINT (103.110785 -1.144328),T.204,T.204 AA+6
POINT (103.10811 -1.141613),T.205,T.205 AA+6
POINT (103.105363 -1.138817),T.206,T.206 AA+3
POINT (103.102669 -1.136121),T.207,T.207 AA+6
POINT (103.099922 -1.133388),T.208,T.208 AA+6
POINT (103.097058 -1.130466),T.209,T.209 AA+3
POINT (103.094455 -1.127842),T.210,T.210 AA+3
POINT (103.091806 -1.125182),T.211,T.211 AA+3
POINT (103.089131 -1.122504),T.212,T.212 BB+3
POINT (103.086321 -1.119671),T.213,T.213 AA+9
POINT (103.083807 -1.117075),T.214,T.214 AA+3
POINT (103.08089 -1.114114),T.215,T.215 AA+9
POINT (103.078411 -1.111535),T.216,T.216 AA+3
POINT (103.075719 -1.108785),T.217,T.217 AA+6
POINT (103.072849 -1.105842),T.218,T.218 AA+3
POINT (103.070084 -1.10303),T.219,T.219 AA+6
POINT (103.067559 -1.10045),T.220,T.220 AA+3
POINT (103.064964 -1.097827),T.221,T.221 CC+3
POINT (103.061398 -1.096552),T.222,T.222 AA+6
POINT (103.057842 -1.09523),T.223,T.223 AA+3
POINT (103.05513 -1.094234),T.224,T.224 AA+9
POINT (103.051151 -1.092775),T.225,T.225 AA+3
POINT (103.04728 -1.09138),T.226,T.226 AA+0
POINT (103.043571 -1.090058),T.227,T.227 AA+0
POINT (103.039592 -1.088645),T.228,T.228 AA+3
POINT (103.035874 -1.087304),T.229,T.229 AA+0
POINT (103.032237 -1.086018),T.230,T.230 AA+0
POINT (103.028555 -1.084704),T.231,T.231 BB+3
POINT (103.024873 -1.08339),T.232,T.232 AA+6
POINT (103.021182 -1.082104),T.233,T.233 AA+0
POINT (103.017508 -1.080755),T.234,T.234 AA+0
POINT (103.013817 -1.079405),T.235,T.235 AA+0
POINT (103.010171 -1.078064),T.236,T.236 AA+0
POINT (103.006498 -1.076715),T.237,T.237 AA+0
POINT (103.002834 -1.075356),T.238,T.238 AA+0
POINT (102.99917 -1.073988),T.239,T.239 AA+0
POINT (102.995533 -1.07263),T.240,T.240 AA+0
POINT (102.991806 -1.071253),T.241,T.241 AA+6
POINT (102.988097 -1.070021),T.242,T.242 CC+6
POINT (102.985089 -1.067496),T.243,T.243 AA+6
POINT (102.982055 -1.064926),T.244,T.244 AA+0
POINT (102.979397 -1.062682),T.245,T.245 BB+6
POINT (102.976111 -1.059922),T.246,T.246 AA+9
POINT (102.972951 -1.057244),T.247,T.247 AA+9
POINT (102.970168 -1.054873),T.248,T.248 AA+6
POINT (102.966981 -1.052168),T.249,T.249 AA+6
POINT (102.964216 -1.049833),T.250,T.250 AA+3
POINT (102.961316 -1.047372),T.251,T.251 AA+6
POINT (102.95812 -1.044676),T.252,T.252 AA+6
POINT (102.955005 -1.04206),T.253,T.253 BB+3
POINT (102.952024 -1.039554),T.254,T.254 AA+3
POINT (102.948828 -1.036867),T.255,T.255 AA+3
POINT (102.945902 -1.034405),T.256,T.256 AA+0
POINT (102.942876 -1.03198),T.257,T.257 AA+0
POINT (102.940281 -1.02989),T.258,T.258 AA+0
POINT (102.937121 -1.027375),T.259,T.259 AA+3
POINT (102.934249 -1.024932),T.260,T.260 AA+3
POINT (102.931052 -1.022488),T.261,T.261 CC+6
POINT (102.92738 -1.021085),T.262,T.262 AA+6
POINT (102.923698 -1.01969),T.263,T.263 AA+0
